timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
21,0.02,-0.0215,1.2231,-0.7939,-0.7176,3.5496
41,0.0161,-0.0247,1.2256,-0.6718,-1.4656,3.5344
61,0.0227,-0.02,1.2383,-0.4351,-2.4962,3.4733
81,0.0256,-0.0181,1.2112,-0.3359,-2.8321,3.4885
101,0.0264,-0.0249,1.2,-0.3817,-1.4504,3.4885
121,0.022,-0.0195,1.22,-0.6565,-0.6947,3.4198
141,0.0239,-0.0168,1.2244,-0.8702,-1.4885,3.4275
161,0.0154,-0.0151,1.2351,-0.5191,-2.5573,3.2672
181,0.0232,-0.0083,1.2231,-0.1756,-2.3359,3.4122
201,0.0198,-0.0076,1.2437,-0.6718,-1.6641,3.4885
221,0.0298,-0.0181,1.2422,-0.7863,-1.1298,3.4122
241,0.0286,-0.0022,1.2395,-0.6031,-2.0611,3.5267
261,0.0154,-0.011,1.2373,-0.2824,-2.9084,3.4656
281,0.0212,-0.0188,1.2268,-0.2748,-1.7252,3.4504
301,0.0139,-0.0083,1.2458,-0.6336,-0.3817,3.4198
321,0.011,-0.0107,1.2368,-0.7939,-0.4427,3.3511
341,0.0063,0.0007,1.2495,-0.8092,-1.7176,3.3817
361,0.0139,-0.0056,1.229,-0.2901,-2.6107,3.6794
381,0.0137,-0.0098,1.2302,-0.4351,-1.6718,3.5115
401,0.0007,-0.0066,1.2256,-0.6489,-0.6794,3.2977
421,0.0012,-0.021,1.2266,-0.4809,-1.229,3.3588
441,0.0085,-0.0134,1.2236,-0.3511,-1.8168,3.3969
461,0.0122,-0.022,1.2292,-0.3817,-1.8015,3.4962
481,0.021,-0.0208,1.2222,-0.6641,-1.6412,3.5191
501,0.0137,-0.0173,1.2161,-0.7481,-2.1985,3.3435
521,0.012,-0.0193,1.2273,-0.7939,-2.0611,3.4809
541,0.019,-0.011,1.2361,-0.8321,-2.1374,3.4275
561,0.0103,-0.0171,1.2314,-0.7481,-2.5191,3.5649
581,0.0161,-0.0132,1.238,-0.9466,-2.1985,3.4198
601,0.0237,-0.0085,1.2388,-0.8244,-2.2137,3.3893
621,0.0281,-0.009,1.24,-0.8321,-2.2672,3.4809
641,0.0171,-0.0112,1.2378,-1.1527,-1.9618,3.4656
661,0.0225,-0.0164,1.2251,-0.8931,-2.3206,3.4733
681,0.0161,-0.0134,1.2451,-1.0305,-2.2443,3.313
701,0.0195,-0.0205,1.2371,-0.8397,-1.3893,3.4656
721,0.0176,-0.0183,1.2219,-0.5649,-1.7481,3.4504
741,0.0129,-0.0083,1.252,-0.8855,-2.2595,3.3206
761,0.0212,-0.0139,1.2351,-0.7557,-1.5115,3.5344
781,0.0176,-0.0132,1.2283,-0.7328,-1.4656,3.374
801,0.021,-0.0132,1.2307,-0.6336,-1.5573,3.5649
821,0.0229,-0.0183,1.2324,-0.3969,-1.374,3.4275
841,0.0234,-0.0239,1.2314,-0.374,-1.4733,3.4122
861,0.0127,-0.0288,1.2144,-0.1679,-1.8855,3.5649
881,0.0254,-0.0229,1.2168,-0.1985,-1.2977,3.4504
901,0.0242,-0.0186,1.2185,-0.4427,-1.6641,3.4198
921,0.0249,-0.021,1.2158,-0.3969,-1.7252,3.3282
941,0.0249,-0.0283,1.2163,-0.3359,-1.626,3.5725
961,0.0208,-0.0291,1.2163,-0.4504,-2.0305,3.4656
981,0.0276,-0.021,1.2249,-0.5802,-2.3664,3.4733
1001,0.021,-0.0132,1.2422,-0.6947,-1.5954,3.3893
1021,0.0256,-0.0222,1.2214,-0.5649,-1.6107,3.374
1041,0.022,-0.012,1.2236,-0.4504,-1.9466,3.5725
1061,0.02,-0.0063,1.251,-0.5496,-1.8397,3.3282
1081,0.0181,-0.011,1.2412,-0.4809,-1.5802,3.1756
1101,0.0159,-0.0193,1.2288,-0.1985,-1.6947,3.4504
1121,0.019,-0.0154,1.2446,-0.313,-1.6565,3.4046
1141,0.0164,-0.0137,1.2195,-0.4122,-2.0229,3.4733
1161,0.0161,-0.0142,1.2356,-0.4962,-1.6336,3.6412
1181,0.0146,-0.0083,1.2207,-0.6031,-1.1679,3.4809
1201,0.012,-0.0142,1.2373,-0.687,-1.2595,3.3893
1221,0.0061,-0.0146,1.2314,-0.3206,-1.7634,3.6489
1241,0.0063,-0.0103,1.2437,-0.7863,-1.542,3.3359
1261,0.0129,-0.0098,1.2505,-0.7176,-1.5038,3.6641
1281,0.0088,-0.0168,1.2368,-0.626,-1.9008,3.3664
1301,0.0098,-0.0105,1.2307,-1.084,-1.6107,3.5496
1321,0.0129,-0.0144,1.2222,-0.7481,-1.4275,3.3664
1341,0.0159,-0.0144,1.2354,-0.771,-2.7786,3.4198
1361,0.01,-0.0181,1.2275,-0.8473,-2.4885,3.2443
1381,0.0154,-0.0125,1.2495,-1.0229,-2.313,3.5725
1401,0.0115,-0.0203,1.2332,-1,-2.4122,3.3969
1421,0.0229,-0.0244,1.241,-1.2519,-2.626,3.4656
1441,0.0229,-0.0154,1.2314,-1.0687,-2.2824,3.2519
1461,0.0269,-0.0115,1.2534,-0.8931,-2.3053,3.4733
