timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
21,-0.0054,-0.0088,1.2383,-0.6031,-2.0687,3.4427
41,0,-0.0095,1.2349,-0.7405,-1.7634,3.3359
61,-0.0054,-0.009,1.2302,-0.7176,-1.916,3.2443
81,-0.0083,-0.0054,1.2322,-0.771,-1.6412,3.3664
101,-0.011,-0.0137,1.2202,-0.5649,-1.8779,3.374
121,-0.0081,-0.0112,1.2319,-0.6412,-1.8626,3.6183
141,-0.001,-0.0073,1.2312,-0.6565,-1.916,3.3664
161,-0.0061,-0.0073,1.2229,-0.6565,-1.8702,3.4046
181,-0.0029,-0.0083,1.228,-0.8244,-1.8779,3.3817
201,-0.0039,-0.0024,1.2334,-0.6565,-1.916,3.5649
221,-0.0024,-0.0061,1.2224,-0.7176,-1.5802,3.4504
241,-0.0088,-0.012,1.2249,-0.7939,-1.9695,3.542
261,-0.0061,-0.0105,1.2275,-0.626,-1.8931,3.6031
281,-0.0088,0.0017,1.2305,-0.687,-1.6794,3.313
301,-0.0017,-0.0063,1.231,-0.5649,-1.7099,3.5649
321,-0.0002,-0.0132,1.2324,-0.5802,-1.9771,3.4809
341,-0.001,-0.0076,1.2375,-0.6412,-2.2748,3.4809
361,-0.011,-0.0139,1.2268,-0.6183,-1.9084,3.3664
381,-0.0037,-0.0066,1.2258,-0.6336,-1.8397,3.3053
401,-0.0078,-0.0115,1.2327,-0.6641,-1.8015,3.3969
421,-0.0073,-0.0071,1.2427,-0.6565,-1.9313,3.3664
441,-0.0046,-0.01,1.2253,-0.6794,-1.8168,3.6107
461,-0.0027,-0.0071,1.2385,-0.6565,-1.8931,3.3053
481,0.0024,-0.0083,1.2336,-0.7328,-2,3.5344
501,-0.0061,-0.0076,1.2395,-0.4427,-1.7176,3.4885
521,-0.0071,-0.0093,1.2275,-0.7634,-1.7176,3.2824
541,-0.0081,-0.0063,1.2354,-0.6183,-1.8855,3.3435
561,-0.0093,-0.0078,1.2314,-0.4504,-1.8092,3.458
581,-0.0115,-0.01,1.238,-0.6183,-2.0992,3.5649
601,-0.002,-0.0024,1.2424,-0.6718,-1.7481,3.458
621,-0.0042,-0.0083,1.2344,-0.6718,-1.6031,3.3817
641,-0.0056,-0.0054,1.2271,-0.5038,-1.7405,3.4809
661,-0.012,-0.0137,1.2319,-0.6489,-1.8321,3.4885
681,-0.0068,-0.0017,1.228,-0.7023,-1.9542,3.4275
701,-0.0032,-0.0076,1.2329,-0.6718,-1.7557,3.542
721,-0.002,0.0017,1.2454,-0.626,-1.8626,3.5496
741,0.0012,-0.0027,1.2297,-0.5878,-1.7405,3.6412
761,-0.0032,-0.0039,1.2324,-0.458,-1.9008,3.3817
781,-0.0046,-0.0164,1.23,-0.6183,-1.8321,3.458
801,-0.0117,-0.0146,1.2222,-0.5573,-1.916,3.3359
821,-0.0059,-0.0049,1.2188,-0.542,-1.8321,3.458
841,-0.0005,-0.0085,1.2356,-0.5496,-1.771,3.4656
861,-0.0044,-0.0063,1.2344,-0.6794,-1.9389,3.4504
881,-0.0051,-0.0037,1.2324,-0.4809,-1.7786,3.3053
901,-0.0032,-0.0081,1.2344,-0.458,-1.9008,3.5802
921,-0.0039,-0.0051,1.2312,-0.6031,-2.0611,3.5878
941,-0.0034,-0.0046,1.2327,-0.6718,-1.9466,3.5191
961,-0.0012,-0.0081,1.2256,-0.6183,-1.8168,3.6489
981,-0.0027,-0.0081,1.2329,-0.7863,-1.9542,3.3893
1001,-0.0039,-0.0037,1.2344,-0.8931,-1.7481,3.374
1021,-0.0078,-0.0049,1.2354,-0.4809,-1.8244,3.2443
1041,-0.0142,-0.0046,1.2373,-0.7863,-1.8855,3.4351
1061,-0.0088,-0.0107,1.2371,-0.7328,-1.855,3.4809
1081,-0.0051,-0.01,1.2224,-0.626,-1.8626,3.3588
1101,-0.0005,-0.0063,1.2288,-0.6412,-1.6489,3.5115
1121,0,-0.0083,1.228,-0.6489,-1.542,3.6641
1141,0.0005,-0.0061,1.2346,-0.6794,-1.855,3.6489
1161,-0.0032,-0.002,1.2363,-0.5344,-1.8702,3.4733
1181,-0.0144,-0.0088,1.2234,-0.6107,-2.0076,3.5344
1201,-0.0085,-0.0098,1.2175,-0.7786,-1.5038,3.3359
1221,-0.0032,-0.0144,1.2341,-0.5191,-1.8321,3.5038
1241,-0.0066,-0.0049,1.2356,-0.626,-1.7634,3.5267
1261,-0.0024,-0.0071,1.2429,-0.7481,-1.8779,3.3969
1281,0,-0.0061,1.2222,-0.5267,-1.6183,3.3817
1301,0.0027,-0.0105,1.2371,-0.6412,-1.7405,3.3969
1321,-0.0071,-0.0122,1.2332,-0.6718,-2.4046,3.4351
1341,-0.0068,-0.0037,1.2349,-0.6336,-1.9084,3.5038
1361,0.0015,-0.0073,1.2373,-0.6794,-1.5802,3.3588
1381,-0.0107,-0.0027,1.2354,-0.7863,-1.9847,3.5573
1401,-0.002,-0.0063,1.2334,-0.7252,-1.9542,3.4275
1421,-0.0139,-0.0088,1.239,-0.687,-2.1298,3.6336
1441,-0.0059,-0.0063,1.2349,-0.6412,-1.9084,3.6031
1461,-0.0085,-0.0066,1.2266,-0.6412,-1.9466,3.7176
1481,-0.0066,-0.0066,1.2385,-0.4504,-1.8015,3.3206
1501,-0.01,-0.0071,1.2305,-0.5725,-1.6565,3.4504
1521,-0.0088,-0.0061,1.2454,-0.7405,-1.7634,3.5496
1541,-0.0037,-0.0071,1.2393,-0.5802,-1.8626,3.5191
1561,-0.0076,-0.0093,1.2429,-0.4962,-1.7481,3.5344
1581,-0.0117,-0.0154,1.2327,-0.5878,-1.7481,3.3664
1601,-0.0024,-0.0098,1.231,-0.6412,-1.3817,3.4198
1621,-0.011,-0.0073,1.2292,-0.7481,-1.4962,3.4733
1641,0.0002,-0.0085,1.23,-0.4962,-1.6489,3.4656
1661,-0.0005,-0.0042,1.2341,-0.771,-1.542,3.4962
1681,-0.001,-0.0054,1.2339,-0.7252,-1.7328,3.5725
1701,0.0024,-0.0105,1.2227,-0.7634,-1.7481,3.5267
1721,-0.0056,-0.0144,1.2314,-0.6107,-1.9466,3.3817
1741,-0.0063,-0.0076,1.2314,-0.5115,-1.8168,3.3282
1761,-0.009,-0.0098,1.2332,-0.7557,-2.0534,3.374
1781,-0.0042,-0.012,1.2253,-0.6565,-1.6794,3.5191
1801,-0.0066,-0.0088,1.2346,-0.5344,-1.8779,3.626
1821,-0.0103,-0.0095,1.2263,-0.7252,-2.0458,3.5573
1841,-0.0054,-0.0061,1.2246,-0.7176,-1.7863,3.5115
1861,-0.0015,-0.0017,1.2346,-0.7099,-1.916,3.6947
1881,-0.0034,-0.0078,1.2314,-0.7557,-1.7405,3.458
1901,-0.0105,-0.0068,1.2319,-0.687,-1.8702,3.4198
1921,-0.0051,-0.0032,1.2332,-0.7252,-1.9847,3.5191
1941,-0.0044,-0.0049,1.2319,-0.7634,-1.9924,3.2672
1961,-0.0037,-0.0076,1.2378,-0.6947,-1.916,3.5115
1981,-0.0085,-0.01,1.228,-0.6183,-1.3664,3.4275
2001,0,-0.0142,1.2346,-0.626,-1.7099,3.3359
2021,-0.0037,-0.0083,1.2275,-0.6412,-1.6336,3.6183
2041,-0.0083,-0.0103,1.2314,-0.6489,-1.7939,3.4656
2061,0.0061,-0.0044,1.2361,-0.4809,-2,3.5725
2081,-0.0017,-0.0095,1.2341,-0.4962,-1.7176,3.4809
2101,-0.0095,-0.0015,1.2253,-0.7328,-1.9771,3.3359
2121,-0.0044,-0.0034,1.2334,-0.6336,-1.6183,3.4198
2141,-0.0049,-0.0061,1.2339,-0.5191,-1.7863,3.3893
2161,-0.0015,-0.0166,1.2351,-0.7328,-1.7176,3.5344
2181,0.0005,-0.0024,1.2346,-0.6565,-1.7939,3.542
2201,-0.0056,-0.0024,1.2209,-0.6641,-1.4733,3.5725
2221,-0.0022,-0.0078,1.2312,-0.5573,-1.8092,3.5038
2241,-0.0032,-0.0083,1.2334,-0.7176,-1.7557,3.5649
2261,-0.0095,-0.0112,1.2354,-0.6794,-1.771,3.3893
2281,-0.01,-0.0127,1.229,-0.6794,-1.6718,3.5267
2301,-0.0017,-0.0095,1.2385,-0.8015,-1.771,3.5038
2321,-0.0049,-0.0061,1.2312,-0.7557,-1.8168,3.4427
2341,-0.0044,-0.0095,1.2302,-0.7328,-1.9542,3.374
2361,-0.0046,-0.0112,1.2266,-0.5954,-1.9389,3.2519
2381,-0.001,-0.0015,1.2332,-0.6794,-1.8397,3.5802
2401,-0.0076,-0.001,1.2327,-0.5573,-1.9695,3.5191
2421,-0.0044,-0.0095,1.2354,-0.6183,-2.0916,3.4122
2441,-0.0076,-0.0107,1.2378,-0.7099,-1.8092,3.3435
2461,0.0088,0.0022,1.2268,-1.0763,0.4733,5.5191
2481,0,-0.0073,1.2273,-1.2443,-0.1298,15.1603
2501,0.0066,-0.0107,1.2415,-0.229,0.4046,3.3282
2521,-0.0339,-0.0037,1.2517,-0.6565,0.5725,3.4122
2541,0.0044,-0.0039,1.2244,-0.0153,2.0534,3.0153
2561,0.0386,0.0315,1.2402,1.1298,4.9466,-0.9771
2581,0.0881,0.0374,1.2422,1.4656,9.0382,7.2366
2601,-0.1389,-0.0925,1.2673,0.8397,19.0076,5.0763
2621,-0.033,-0.0186,1.2354,2.1908,41.1679,17.458
2641,-0.1199,-0.0149,1.2224,16.9313,33.1679,8.7328
2661,-0.1428,0.0728,1.2234,31.5649,19.1527,-1.8473
2681,-0.1208,0.021,1.2419,32.3359,27.9542,-4.0076
2701,-0.1431,0.0723,1.1997,43.7328,16.2672,-13.2137
2721,-0.0479,0.052,1.2625,53.2366,-11.626,-12.1985
2741,0.0657,0.0776,1.2537,46.8168,-0.1603,1.4046
2761,-0.1277,0.1284,1.3291,22.9847,30.687,27.9695
2781,-0.3167,0.0193,1.4744,-13.8702,38.4427,17.7328
2801,-0.2585,0.0244,1.3965,-34.084,7.5496,2.5573
2821,-0.2039,-0.0403,1.2212,-26.0992,-7.5802,-4.9771
2841,-0.1555,-0.0044,1.2725,-20.4122,12.9084,-12.9847
2861,-0.2358,0.0269,1.3467,-36.9237,26.4122,-3.2748
2881,-0.2764,-0.0183,1.313,-48.0687,29.2748,1.0534
2901,-0.2998,-0.0586,1.3857,-39.4198,2.3053,-6.5573
2921,-0.3523,-0.1489,1.3259,-34.4198,-28,-14.2824
