timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
21,0.0076,-0.0269,1.2322,-0.8092,-1.8626,3.6336
41,0.0117,-0.0208,1.2271,-0.6031,-1.7481,3.5496
61,-0.0027,-0.0244,1.2341,-0.6641,-1.5878,3.4427
81,0.0039,-0.0266,1.2388,-0.5573,-1.1985,3.4962
101,-0.0039,-0.0249,1.2451,-0.5191,-1.4962,3.5115
121,0.0063,-0.0234,1.2378,-0.6412,-1.313,3.3435
141,0.0007,-0.0295,1.2246,-0.6641,-1.0687,3.5649
161,-0.0027,-0.0278,1.228,-0.626,-1.0687,3.3893
181,0.0002,-0.0283,1.2249,-0.5038,-1.2595,3.3206
201,-0.0056,-0.0332,1.2236,-0.5649,-1.8473,3.229
221,0.0081,-0.02,1.2292,-0.5115,-1.8168,3.4427
241,-0.0002,-0.0288,1.2375,-0.5496,-1.9924,3.2137
261,0.0012,-0.0322,1.2351,-0.7786,-2.0458,3.3359
281,-0.0054,-0.0266,1.2344,-0.542,-2,3.4046
301,0.0103,-0.02,1.2395,-0.6565,-2.374,3.4351
321,0.0034,-0.0188,1.2454,-0.7863,-2.1145,3.6412
341,0.2217,-0.0178,1.0051,1,28.687,2.4275
361,-0.2153,0.0171,1.5027,2.7099,87.8397,-1.2977
381,-0.1213,-0.0139,1.3123,1.9771,9.2061,0.0153
401,0.093,-0.0413,1.1013,1.3511,-8.3359,3.2061
421,-0.2197,0.0266,1.4287,8.9924,40.0611,2.3664
441,-0.0303,-0.0139,1.2617,-4.8168,-21.9008,3.6718
461,-0.0237,-0.043,1.2095,5.8626,21.7481,3.6794
481,-0.0486,-0.0422,1.2361,0.7405,12.9542,3.4275
501,-0.0193,-0.1143,1.2439,-0.4351,0.4427,7.2595
521,0.0396,-0.115,1.2368,-0.7405,-4.7481,10.0763
541,0.1433,-0.116,1.2561,-4.855,-21.5344,18.2061
561,0.1289,-0.0476,1.2979,-11.7176,-54.7099,36.0611
581,-0.0139,-0.04,1.335,-7.9237,-9.0305,52.3817
601,0.0994,0.1504,1.1326,4.3511,6.9618,-54.229
621,-0.5825,0.1248,1.364,8.2824,-14.8321,-50.5267
641,-0.0212,0.2249,1.2429,-1.5038,-4.6718,-2.5725
661,-0.0291,-0.0161,1.2202,-4.1908,-10.6947,2.1527
681,-0.0115,-0.0127,1.2273,0.0153,-2.0153,1.855
701,-0.0061,-0.0166,1.2251,-0.7328,-2.0534,3.1985
721,-0.0193,-0.0164,1.2349,-0.7786,-1.0458,3.3969
741,-0.0234,-0.0156,1.2224,-0.5573,-1.4809,3.2748
761,-0.0249,-0.0168,1.22,-0.7252,-1.3893,3.3664
781,-0.0298,-0.0237,1.2324,-0.5191,-1.4046,3.4198
801,-0.0269,-0.0098,1.2261,-0.7176,-1.6031,3.3588
821,-0.021,-0.0212,1.2273,-0.7634,-1.6031,3.5496
841,-0.166,-0.0334,1.5325,2.7634,10.145,9.8015
861,-0.1301,-0.042,1.2783,-1.5191,-10.8855,3.1145
881,-0.0083,-0.0203,1.2068,-0.7023,-3.0076,3.1985
901,-0.0408,-0.0139,1.2625,-0.4198,0.7405,3.4656
921,-0.5674,-0.021,1.7861,3.4962,8.2595,-1.5878
941,-0.1545,-0.041,1.2021,0.9084,-12.9008,4.1374
961,-0.0559,-0.0547,1.3362,1.2672,9.0305,4.3435
981,-0.0767,0.002,1.3933,2.2366,-3.9008,2.9466
1001,-0.0481,-0.0178,1.2397,-0.916,-3.4122,3.458
1021,-0.0449,-0.0225,1.2229,-1.0992,-6.084,3.2214
1041,0.0142,-0.0229,1.2141,-4.4885,-5.7176,3.7939
1061,-0.0444,-0.0078,1.3274,-2.4504,-6.0611,2.9466
1081,0.0049,-0.0164,1.2017,-1.9618,-4.6565,3.4427
1101,-0.0173,-0.0171,1.2361,-0.5496,-2.855,3.5191
1121,-0.0291,-0.0186,1.2407,-0.7557,-1.5191,3.4809
1141,-0.0208,-0.0225,1.2349,-0.6336,-2.2214,3.5725
1161,-0.0317,-0.0095,1.2324,-0.8702,-2.4885,3.4885
1181,-0.019,-0.0181,1.2258,-0.8855,-1.9771,3.458
1201,-0.0254,-0.0142,1.2148,-1.5725,-2.4656,3.1832
1221,-0.019,-0.0217,1.2114,-0.3359,-1.5802,3.6031
1241,-0.0305,-0.022,1.2144,-0.4046,-1.7099,3.2214
1261,-0.0303,-0.0154,1.2236,-0.8168,-2.4122,3.4885
1281,-0.0225,-0.0205,1.2476,-0.7634,-2.0229,3.3969
1301,-0.0205,-0.0186,1.2451,-0.7939,-2.2672,3.2824
1321,-0.0208,-0.0146,1.2397,-0.7634,-2.3588,3.2748
1341,-0.0183,-0.019,1.2334,-0.8168,-2.4809,3.4427
1361,-0.0173,-0.019,1.2444,-0.7863,-2.1679,3.4733
1381,-0.0183,-0.0144,1.2349,-0.771,-2.2137,3.458
1401,-0.0266,-0.0232,1.2305,-0.5496,-1.9008,3.4885
1421,-0.0217,-0.0212,1.2288,-0.7786,-2.0458,3.2595
1441,-0.0217,-0.0183,1.2361,-0.7863,-1.9237,3.5573
1461,-0.0173,-0.0208,1.2212,-0.7328,-1.2214,3.3817
1481,-0.0181,-0.019,1.2432,-0.8397,-1.458,3.5038
1501,-0.0227,-0.0171,1.229,-0.7405,-1.4198,3.4809
1521,-0.0215,-0.0198,1.219,-0.8092,-0.9542,3.4351
1541,-0.0237,-0.02,1.2188,-0.7863,-1.2672,3.2748
1561,-0.0254,-0.0164,1.2297,-0.6718,-1.5267,3.5191
1581,-0.0215,-0.0132,1.219,-1.0458,-1.5954,3.3664
1601,-0.0276,-0.0122,1.2217,-0.8015,-1.2748,3.2443
1621,-0.0266,-0.0217,1.2214,-0.4198,-1.4656,3.2824
1641,-0.0286,-0.0244,1.2163,-0.7405,-1.771,3.542
1661,-0.0269,-0.0273,1.2332,-0.916,-1.687,3.4885
1681,-0.0278,-0.0234,1.2219,-0.6641,-1.9008,3.5191
1701,-0.0237,-0.0237,1.2336,-0.542,-2.0305,3.2748
1721,-0.021,-0.0205,1.2397,-0.7252,-2.1069,3.313
1741,-0.0278,-0.0208,1.2361,-0.5954,-1.9313,3.2595
1761,-0.0244,-0.0193,1.2378,-0.7939,-1.7405,3.3893
1781,-0.0293,-0.0149,1.2354,-0.5954,-1.4351,3.4962
1801,-0.0232,-0.0176,1.2271,-0.687,-1.626,3.2672
1821,-0.0195,-0.0137,1.2371,-0.687,-1.458,3.2901
1841,-0.0254,-0.0105,1.2249,-0.6641,-1.1908,3.4275
1861,-0.0249,-0.0151,1.2288,-0.5954,-1.0611,3.4962
1881,-0.0347,-0.0254,1.2278,-0.6489,-1.313,3.3206
1901,-0.0295,-0.0171,1.2236,-0.7099,-1.6565,3.6107
1921,-0.0269,-0.0203,1.2271,-0.7405,-1.8168,3.5725
1941,-0.0344,-0.0183,1.2324,-0.6641,-1.3664,3.5802
1961,-0.0291,-0.0173,1.23,-0.6489,-1.6718,3.2443
1981,-0.0356,-0.0247,1.2339,-0.5038,-1.8168,3.2977
2001,-0.0298,-0.021,1.2273,-0.7099,-2.1908,3.3282
2021,-0.0364,-0.0227,1.2383,-0.7634,-2.5191,3.458
2041,-0.0322,-0.0215,1.2498,-0.4885,-2.3435,3.5038
2061,-0.0352,-0.0154,1.2463,-0.6183,-2.4733,3.313
2081,-0.0269,-0.0149,1.2546,-0.3969,-2.4122,3.4962
2101,-0.0283,-0.0198,1.2451,-0.6107,-2.1221,3.2672
2121,-0.0269,-0.0198,1.251,-0.6336,-2.374,3.2748
2141,-0.0259,-0.0168,1.2449,-0.4351,-1.9924,3.4427
2161,-0.0266,-0.0166,1.2407,-0.6794,-1.8855,3.4427
2181,-0.0217,-0.0247,1.229,-0.6565,-1.5267,3.5344
2201,-0.0276,-0.0198,1.2363,-3.5573,-4.4198,3.4885
2221,-0.012,-0.0161,1.228,-1.6412,-2.542,3.5725
2241,-0.0286,-0.0298,1.1982,4.2519,2.8321,2.9237
2261,-0.0061,-0.0093,1.2144,-1.3435,-2.3282,2.6947
2281,-0.0317,-0.0256,1.2117,-0.9618,-2.6336,3.374
2301,-0.0227,-0.0161,1.2151,0.542,-0.313,3.4275
